Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
0,ต้ม,หย่าเก่ย,เนื้อส่วนขาหมู,ข่า ,ตะไคร้,ใบมะกรูด,กะปิ,น้ำตาล,ซอสน้ำมันหอย,น้ำปลา,เต้าเจี้ยว,เหล้าขาว,น้ำเปล่า,,,,,,,,,,,,,,,
1,ต้ม,แกงผักปั๋งใส่แหนม,ยอดอ่อนผักปั๋ง,แหนม,พริกหนุ่ม,หอมแดง,มะเขือเทศ,กระเทียม,กะปิ,ปลาร้า,มะนาว,เกลือ,ต้นหอม,ผักชี,น้ำซุปหมู,,,,,,,,,,,,,
2,ต้ม,แกงจืดไข่ม้วน,หมู,ไข่ไก่,วุ้นเส้น,ซอสปรุงรส,พริกไทยป่น,เห็ดหูหนูแห้ง,น้ำซุปกระดูกหมู,ผักกาดขาว,แครอท,เห็ดหอม,ต้นหอม,ผักขึ้นฉ่าน,เต้าหู้ไข่,,,,,,,,,,,,,
3,ต้ม,หมูหนาว,ขาหมู,หอมหัวใหญ่,เห็ดหูหนูแห้ง,พริกไทย,รากผักชี,เกลือ,,,,,,,,,,,,,,,,,,,,
4,ต้ม,ต้มจืดมะระซี่โครงหมู,ซี่โครงหมู,มะระจีน,เห็ดหอม,เกลือ,น้ำเปล่า,กุ้งแห้ง,คื่นฉ่าย,ผักชี,พริกไทยแห้ง,กระเทียม,,,,,,,,,,,,,,,,
5,ต้ม,ต้มยำขาหมู,ขาหมู,ตะไคร้,พริกขี้หนู,เห็ดฟาง,ใบมะกรูด,หอมแดง,ข่า ,น้ำมะขามเปียก,น้ำปลา,มะนาว,ผักชีฝรั่ง,น้ำเปล่า,,,,,,,,,,,,,,
6,ต้ม,ขนมจีนน้ำใส,หมูยอดิบ,วุ้นเส้น,ต้นหอม,เห็ดหูหนูแห้ง,พริกไทยป่น,ซอสปรุงรส,กระดูกเล้ง,ซี่โครงหมู,น้ำปล่า,เกลือ,หอมหัวใหญ่,ขนมจีน,ผักสด,,,,,,,,,,,,,
7,ต้ม,กระเพาะหมูตุ๋นพริกไทยดำ,เห็ดหอม,กระเพราะหมู,พริกไทย,ซอสปรุงรส,คื่นฉ่าย,ไข่นกกระทา,ผักชี,น้ำซุป,,,,,,,,,,,,,,,,,,
8,ต้ม,แกงมะเขือเทศหมูสับ,หมูสับ,มะเขือเทศ,ซอสปรุงรส,กระเทียม,เกลือ,น้ำตาล,พริกไทย,น้ำซุปกระดูกหมู,ไข่ไก่,ผักสด,น้ำซุปหมู,น้ำมันพืช,,,,,,,,,,,,,,
9,ต้ม,แกงจืดเต้าหู้หมูสับ,ผักตำลึง,คื่นฉ่าย,หมูสับ,มันหมู,กระเทียม,พริกไทย,ซอสน้ำมันหอย,ซอสปรุงรส,น้ำปลา,เต้าหู้ไข่,แครอท,ต้นหอมเป็นท่อน,ผักกาดขาว,สาหร่าย,กระเทียมเจียว,น้ำซุปกระดูกหมู,,,,,,,,,,
10,ต้ม,ไข่พะโล้,ไข่เป็ด,น้ำมันพืชสำหรับผัด,หมูสามชั้น,พริกไทย,รากผักชี,กระเทียม,อบเชย,โป๊ยกั๊ก,เต้าหู้,น้ำปลา,ซอสถั่วเหลือง,น้ำตาล,น้ำเปล่า,,,,,,,,,,,,,
11,ต้ม,แกงจืดสับปะรดกระดูกอ่อน,สับปะรด,ซี่โครงหมูอ่อน,แครอท,กุ้งแห้ง,เม็ดตั้งฉ่าย,ต้นหอม,ผักชี,เกลือ,ซอสถั่วเปลือง,เต้าหู้ไข่,น้ำซุปกระดูกหมู,กระดูกเล้ง,,,,,,,,,,,,,,
12,ต้ม,ต้มแซ่บกระดูกอ่อน,ซี่โครงหมู,ข่า ,มะเขือเทศ,น้ำตาลปี๊บ,ตะไคร้,ผักชีฝรั่ง,หอมหัวใหญ่,ใบมะกรูด,น้ำมะขามเปียก,น้ำปลา,พริกสด,พริกป่น,,,,,,,,,,,,,,
13,ต้ม,แกงจืดฟักซี่โครงหมู,ซี่โครงหมู,ฟักเขียวอ่อน,แครอท,เห็ดหอม,เกลือ,ซอสถั่วเหลือง,รากผักชี,พริกไทย,กระเทียม,น้ำปล่า,,,,,,,,,,,,,,,,
14,ต้ม,ขนมจีนน้ำพริก,กุ้ง,หอมแดง,พริกแห้ง,ข่า ,น้ำตาลปี๊บ,น้ำมะกรูด,ถั่วเขียว,กระเทียม,รากผักชี,หอมแดงเจียว,กระเทียมเจียว,น้ำปลา,น้ำมะขามเปียก,หัวกะทิ,หางกะทิ,พริกป่น,น้ำมันพืช,ขนมจีน,ผักสด,,,,,,,
15,ต้ม,ต้มเค็มฟักกับหมูสามชั้น,ฟักเขียว,หมูสามชั้น,กะปิ,น้ำตาลปี๊บ,ซอสถั่วเหลือง,ซอสหอยนางรม,รากผักชี,หอมแดง,น้ำมันพืช,น้ำเปล่า,,,,,,,,,,,,,,,,
16,ต้ม,แกงรัญจวน,ซี่โครงหมู,หอมแดง,กระเทียม,พริกสด,ตะไคร้,ใบโพระพา,มะนาว,เกลือ,น้ำพริกกะปิ,,,,,,,,,,,,,,,,,
17,ต้ม,หมูต้มใบชะมวง,ใบชะมวงอ่อน,หมูสามชั้น,ข่า ,หอมแดง,กระเทียม,กะปิ,เกลือ,พริกไทยอ่อน,พริกแห้ง,น้ำซุป,น้ำตาล,ซอสถั่วเหลือง,,,,,,,,,,,,,,
18,ต้ม,หมูหนาว,น้ำเปล่า,กระดูกหมู,เกลือ,รากผักชี,พริกไทย,หมู,เห็ดหูหนู,,,,,,,,,,,,,,,,,,,
19,ต้ม,แกงเขียวหวานหมู,หมู,แป้งมัน,ซอสถั่วเหลือง,น้ำตาลปี๊บ,น้ำมันงา,พริกแกงเขียวหวาน,กะทิ,ใบโพระพา,มะเขือเปราะ,น้ำซุปไก่,น้ำตาลปี๊บ,น้ำปลา,พริกชี้ฟ้า,ใบมะกรูด,,,,,,,,,,,,
20,ต้ม,ขาหมูต้มผักกาดดอง,ขาหมู,น้ำซุปหมู,ผักกาดดอง,น้ำตาล,น้ำปลา,ซอสถั่วเหลือง,พริกไทย,,,,,,,,,,,,,,,,,,,
21,ต้ม,ก๋วยจั๊บน้ำข้น,รากผักชี,ซอสถั่วเหลือง,ซิอิ๊วดำ,น้ำตาล,ผงพะโล้,กระเทียม,พริกไทย,น้ำเปล่า,ผักชี,ไข่ไก่,หมูกรอบ,เต้าหู้,ตับหมู,ไส้หมู,เส้นก๋วยจั๊บ,กระดูกหมู,,,,,,,,,,
22,ต้ม,แกงคั่วหมูเทโพ,ผักบุ้ง,หมูสามชั้น,น้ำพริกแกงคั่ว,หัวกะทิ,หางกะทิ,น้ำมะขามเปียก,น้ำปลา,น้ำตาลปี๊บ,ใบมะกรูด,,,,,,,,,,,,,,,,,
23,ต้ม,ขนมจีนน้ำเงี้ยว,เส้นขนมจีน,พริกแห้ง,มะเขือเทศ,หอมแดง,กระเทียม,เต้าเจี้ยว,น้ำตาล,น้ำปลา,หมูสับ,เลือดหมูก้อน,ดอกงิ้วแห้ง,ซี่โครงหมู,น้ำซาวข้าว,,,,,,,,,,,,,
24,ต้ม,แกงขนุนใส่ซี่โครงหมู,ซี่โครงหมู,เนื้อขนุนดิบ,ยอดชะอม,มะเขือเทศ,ผักชีฝรั่ง,ใบชะพลู   ,พริกแห้ง,หอมแดง,กระเทียม,กะปิ,น้ำปลา,น้ำเปล่า,,,,,,,,,,,,,,
25,ต้ม,แกงผักปั๋งใส่แหนม,ยอดอ่อนผักปั๋ง,แหนม,พริกหนุ่ม,หอมแดง,มะเขือเทศ,กระเทียม,กะปิ,ปลาร้า,มะนาว,เกลือ,ต้นหอม,ผักชี,น้ำซุปหมู,,,,,,,,,,,,,
26,ต้ม,แกงโฮะ,พริกแกงเผ็ด,พริกแกงฮังเล,แหนมหม้อ,หน่อไม้ดอง,แคบหมู,วุ้นเส้น,ใบมะกรูด,ผักตำลึง,ตะไคร้,น้ำปลา,มะนาว,พริกสด,กระเทียม,น้ำมันพืช,,,,,,,,,,,,
27,ต้ม,แกงฮังเล,ขาหมู,น้ำพริกแกงเผ็ด,ผงฮังเล,เกลือ,ซีอิ๊วดำ,ซีอิ๊วขาว,น้ำปลา,ขิง,หอมหัวใหญ่,กระเทียม,น้ำตาลปี๊บ,น้ำมะขามเปียก,น้ำซุป,กระท้อนเปรี้ยวสับ,,,,,,,,,,,,
28,ต้ม,แกงอ่อมหมู,หมูสามชั้น,น้ำซุปกระดูก,ใบมะกรูด,พริกแห้ง,หอมแดง,กระเทียม,ข่า ,ตะไคร้,รากผักชี,กะปิ,ใบแมงลัก,ฟักทอง,ผักชีลาว,,,,,,,,,,,,,
29,ต้ม,ต้มแซปกระดูกอ่อน,หมูและเครื่องในหมู,ข่า ,มะเขือ,ตะไคร้,ใบมะกรูด,มะนาว,น้ำปลา,ผงรสดี,พริกสด,,,,,,,,,,,,,,,,,
30,ต้ม,ซุปมะเขือเวียดนาม,หมูสับ,มะเขือเทศ,ซอสปรุงรส,กระเทียม,เกลือ,น้ำตาล,พริกไทย,ถั่วงอก,ใบโพระพา,ใบผักกาดหอม,น้ำซุปหมู,น้ำมันพืช,,,,,,,,,,,,,,
31,ต้ม,ซุปรากบัวซี่โครงหมู,ซี่โครงหมู,ถั่วลิสง,รากบัว,น้ำเปล่า,เกลือ,ซอสถั่วเหลือง,เครื่องตุ๋นยาจีน,,,,,,,,,,,,,,,,,,,
32,ต้ม,แกงจืดสับปะรดซี่โครงอ่อน,สับปะรด,กระดูกหมู,แครอท,กุ้งแห้ง,เม็ดตั้งฉ่าย,ต้นหอม,เกลือ,ซีอิ๊วขาว,เต้าหู้ไข่,น้ำเปล่า,ผงรสดี,,,,,,,,,,,,,,,
33,ต้ม,แกงป่าหมู,หมู,น้ำพริกแกงป่า,มะเขือเปราะ,มะเขือพวง,ขิง,ถั่วฝักยาว,พริกไทยสด,ข้าวโพดอ่อน,น้ำซุปกระะดูกหมู,น้ำปลา,เกลือ,ใบมะกรูด,พริกขี้หนู,ใบกะเพรา,น้ำมันพืช,,,,,,,,,,,
34,ต้ม,ขาหมูต้มใบมะดัน,ขาหมู,ใบมะดันอ่อน,น้ำมะขามเปียก,น้ำปลา,มะนาว,ผักชีฝรั่ง,ตะไคร้,พริกขี้หนู,เห็ดฟาง,ใบมะกรูด,หอมแดง,ข่า ,น้ำเปล่า,,,,,,,,,,,,,
35,ต้ม,แกงเทโพหมู,ผักบุ้ง,หมูสามชั้น,พริกแกง,หัวกะทิ,หางกะทิ,น้ำมะขามเปียก,น้ำปลา,น้ำตาลปี๊บ,มะกรูด,ใบมะกรูด,,,,,,,,,,,,,,,,
36,ต้ม,ไก่บ้านต้มระกำ,ไก่,หอมแดง,ข่า ,ตะไคร้,ผักชีฝรั่ง,พริกขี้หนู,น้ำซุปกระดูกไก่,กะปิ,น้ำตาล,น้ำปลา,ระกำ,,,,,,,,,,,,,,,
37,ต้ม,ต้มข่าหัวปลี,ไก่,หัวปลี,หางกะทิ,มะนาว,ข่า อ่อน,ตะไคร้,ใบมะกรูด,พริกขี้หนู,ผักชีฝรั่ง,เห็ดฟาง,มะเขือเทศ,น้ำตาลปี๊บ,หัวน้ำปลา,ซุปกระดูกไก่,พริกทอด,,,,,,,,,,,
38,ต้ม,แกงเผ็ดกล้วยดิบ,ไก่,กล้วยน้ำว้าดิบ,รากผักชี,ซอสปรุงรส,ซอสน้ำมันหอย,ใบมะกรูด,น้ำตาลปี๊บ,หัวกะทิ,หางกะทิ,เกลือ,น้ำปลา,พริกขี้กนูสวนเฉียง,มะเขือพวง,พริกแกงเผ็ด,ใบโพระพา,,,,,,,,,,,
39,ต้ม,แกงเขียวหวานไก่,ไก่,พริกแกงเขียวหวาน,หางกะทิ,ใบโพระพา,มะเขือเปราะ,น้ำซุปกระดูกไก่,น้ำตาลปี๊บ,น้ำปลา,พริกชี้ฟ้า,ใบมะกรูด,,,,,,,,,,,,,,,,
40,ต้ม,ต้มข่าไก่,ไก่,หางกะทิ,มะนาว,ข่า ,ตะไคร้,ใบมะกรูด,พริกสด,ผักชี,เห็ดฟาง,มะเขือเทศ,น้ำตาลปี๊บ,น้ำปลา,ซุปไก่,,,,,,,,,,,,,
41,ต้ม,โกยซิหมี่,เส้นบะหมี่อบแห้ง,เห็ดหอม,หน่อไม้,กุ่ยฉ่ายขาว,คื่นฉ่าย,ต้นหอม,กระเทียม,พริกไทย,ไก่,แป้งมัน,น้ำมันพืช,น้ำซุปกระดูกหมู,ซอสเห็ดหอม,ซอสน้ำมันหอย,น้ำตาล,,,,,,,,,,,
42,ต้ม,ไก่รวนปลาร้า,ไก่,น้ำซุปไก่,น้ำปลาร้า,น้ำตาล,น้ำปลา,มะนาว,ข่า ,ตะไคร้,ใบมะกรูด,หอมแดง ,พริกสด,กะทิ,,,,,,,,,,,,,,
43,ต้ม,แกงมัสมั่นไก่,ไก่,พริกแกงมัสมั่น,มันฝรั่ง,หอมหัวใหญ่,ถั่วลิสง,น้ำปลา,น้ำตาลปี๊บ,น้ำมะขามเปียก,หัวกะทิ,หางกะทิ,,,,,,,,,,,,,,,,
44,ต้ม,ต้มยำไก่บ้าน,ไก่บ้าน,น้ำพริกเผา,น้ำปลา,น้ำมะขามเปียก,มะนาว,พริกสด,ใบมะกรูด,น้ำซุปหมู,ข่า ,ตะไคร้,หอมแดง,ผักชีฝรั่ง,,,,,,,,,,,,,,
45,ต้ม,แกงเขียวหวานพาสต้า,เส้นสปาเก็ตตี้,พริกแกงเขียวหวาน,ไก่,กะทิ,ใบโพระพา,มะเขือเปราะ,น้ำซุปไก่,น้ำตาลปี๊บ,น้ำปลา,พริกชี้ฟ้า,ใบมะกรูด,,,,,,,,,,,,,,,
46,ต้ม,แกงกะหรี่ไก่,ไก่,เกลือ,พริกไทย,น้ำมันพืช,กระเทียม,ขิง,หอมหัวใหญ่,ผงแกงกะหรี่,ซุปไก่,แครอท,เนื้อแอบเปิล,ซอสโชยุ,ซอสมะเขือเทศ,เกลือ,ใบกระวาน,มันฝรั่ง,ถั่วลันเตา,เนย,แป้งข้าวโพด,,,,,,,
47,ต้ม,แกงจืดเต้าหู้ไข่ม้วน,หมูบะช่อ,ไข่ไก่,วุ้นเส้น,ซอสปรุงรส,พริกไทย,เห็ดหูหนู,น้ำซุปหมู,ผักกาดขาว,แครอท,ต้นหอม,ผักขึ้นฉ่าน,เต้าหู้ไข่,,,,,,,,,,,,,,
48,ต้ม,แกงไก่ใส่ฟักหม่น,ไก่,ฟักเขียว,ผักชีฝรั่ง,มะแขว่น,น้ำปลา,น้ำมันพืช,น้ำซุป,พริกแห้ง,ข่า ,ตะไคร้,หอมแดง,กระเทียม,เกลือ,ปลาร้าสับ,กะปิ,,,,,,,,,,,
49,ต้ม,ซุปตีนไก่,ซี่โครงไก่,ตีนไก่,เกลือ,พริกไทย,น้ำเปล่า,ข่า ,ตะไคร้,พริกสด,แห้ว,มะนาว,ต้นหอม,ไวน์แดง,,,,,,,,,,,,,,
50,ต้ม,โจ๊กไก่,ซี่โครงไก่,ไก่,ขิง,ต้นหอม,พริกไทย,ซอสปรุงรส,ข้าวสาร,น้ำเปล่า,เกลือ,รากผักชี,,,,,,,,,,,,,,,,
51,ต้ม,แกงคั่วฟักไก่,ฟักเขียว,ไก่,หัวกะทิ,หางกะทิ,พริกแกงเผ็ด,น้ำตาลปี๊บ,น้ำปลา,น้ำมะขามเปี๊ยก,ใบโพระพา,ใบมะกรูด,,,,,,,,,,,,,,,,
52,ต้ม,ปีกไก่ตุ๋นซอสขิง,ปีกไก่,ขิง,หัวครอท,หอมหัวใหญ่,ต้นหอม,พริกสด,ซอสน้ำมันหอย,ซอสถั่วเหลือง,เหล้าจีน,น้ำตาล,น้ำเปล่า,,,,,,,,,,,,,,,
53,ต้ม,แกงแคไก่,ไก่,น้ำมัน,ผักตำลึง,เนื้อมะพร้าวอ่อน,ยอดชะอม,ถั่วฝักยาว,มะเขือพวง,ใบชะพลู   ,ใบมะกรูด,ผักชีฝรั่ง,เห็ดฟาง,น้ำซุป,,,,,,,,,,,,,,
54,ต้ม,ยำจิ้นไก่,ไก่,เห็ดฟาง,หัวปลี,ข่า ,ตะไคร้,หอมแดง,กระเทียม,พริกแห้ง,ผักชี,ต้นหอม,น้ำซุปไก่ประมาณ,,,,,,,,,,,,,,,
55,ต้ม,ไก่ตุ๋นโสมเกาหลี,ไก่,กระเทียม,ข้าวเหนียว,ขิง,โสมเกาหลี,ต้นหอมญี่ปุ่น,พุทรา,แป๊ะก๋วย,น้ำเปล่า,เกลือ,พริกไทย,,,,,,,,,,,,,,,
56,ต้ม,ซุปไก่กับรากบัว,รากบัว,น่องไก่,น้ำส้มสายชู,น้ำตาล,ซอสถั่วเหลือง,สาเก,มิริน,น้ำมันงา,,,,,,,,,,,,,,,,,,
57,ต้ม,แกงเผ็ดไก่ฟักทอง,ไก่,ฟักทอง,หัวกะทิ,หางกะทิ,พริกแกงเผ็ด,น้ำตาลปี๊บ,น้ำปลา,พริกเม็ดใหญ่,พริกขี้หนู,ใบมะกรูด,ใบโพระพา,,,,,,,,,,,,,,,
58,ต้ม,แกงตูนปลา,ปลาช่อน,ก้านบอน,มะนาว,น้ำมะกรูด,ใบโพระพา,มะเขือเทศ,น้ำปลา,เกลือ,น้ำซุป,น้ำมันพืช,พริกสด,หอมแดง,กระเทียม,กะปิ,ปลาร้าสับ,ขมิ้น,,,,,,,,,,
59,ต้ม,น้ำยากะทิ,ขนมจีน,หัวกะทิ,หอมแดง ,กระเทียม,ข่า  ,ตะไคร้,กระชาย  ,พริกแห้ง,หางกะทิ,ปลานิล,ลูกชิ้นปลา,น้ำปลา,น้ำเปล่า,เกลือ,กะปิ,เครื่องเคียง,,,,,,,,,,
60,ต้ม,น้ำยาป่า,ปลานิล,ปลาร้าต้มสุก,พริกขี้หนู,กระชาย ,หอมแดง,กระเทียม,เส้นขนมจีน,ต้นหอม,ผักชีฝรั่ง,ใบมะกรูด,พริกแห้งใหญ่,พริกแห้ง,ข่า ,ตะไคร้,เกลือ,น้ำปลา,น้ำเปล่า,ไข่ไก่,ผักสด,,,,,,,
61,ต้ม,แกงกะทิสายบัวปลาทู,ปลาทู,สายบัว,หางกะทิ,หัวกะทิ,กะปิ,น้ำมะขามเปียก,น้ำตาลปี๊บ,พริกชี้ฟ้า,หอมแดง,น้ำปลา,พริกไทยดำป่น,,,,,,,,,,,,,,,
62,ต้ม,ปลาทูต้มขมิ้น,ปลาทู,ข่า ,ข่า ,ตะไคร้,หอมแดง,ผักชีฝรั่ง,เนื้อขมิ้น,น้ำตาลปี๊บ,น้ำปลา,น้ำมะขามเปียก,มะนาว,พริกแห้ง,น้ำเปล่า,,,,,,,,,,,,,
63,ต้ม,ต้มแซ่บปลาคัง,เนื้อปลาคัง,น้ำตาลปี๊บ,กระเทียมดอง,น้ำกระเทียมดอง,กระเทียม,พริกสด,รากผักชี,น้ำซุปหมู,ผักชี,มะนาว,เกลือ,น้ำปลา,พริกป่น,ใบกะเพรา,,,,,,,,,,,,
64,ต้ม,แกงส้มปลากดหน่อไม้ดอง,เนื้อปลากด,พริกแห้ง,กระชาย ,กระเทียม,กะปิ,น้ำมะขามเปี๊ยก,น้ำตาลปี๊บ,หอมแดง,เกลือ,น้ำปลา,หน่อไม้ดอง,ใบมะกรูด,พริกสด,น้ำซุปหมู,,,,,,,,,,,,
65,ต้ม,ต้มยำปลานิล,ปลานิล,น้ำพริกเผา,น้ำปลา,น้ำมะขามเปียก,มะนาว,พริกสด,ใบมะกรูด,น้ำซุปหมู,ข่า ,ตะไคร้,หอมแดง,ผักชีฝรั่ง,,,,,,,,,,,,,,
66,ต้ม,ต้มยำปลาช่อน,ปลาช่อน,น้ำพริกเผา,น้ำปลา,น้ำมะขามเปียก,มะนาว,พริกสด,ใบมะกรูด,น้ำซุปหมู,ข่า ,ตะไคร้,หอมแดง,ผักชีฝรั่ง,,,,,,,,,,,,,,
67,ต้ม,แกงส้มปลาโจก,ปลาโจก,น้ำซุปหมู,เห็ดฟาง,ข่า ,ตะไคร้,ใบมะกรูด,น้ำปลา,เกลือ,น้ำมะขามเปียก,มะเขือเทศ,น้ำตาล,,,,,,,,,,,,,,,
68,ต้ม,แกงเขียวหวานลูกชิ้นปลากราย,เนื้อปลากราย,ซอสถั่วเหลือง,น้ำตาลปี๊บ,พริกแกงเขียวหวาน,กะทิ,ใบโพระพา,มะเขือเปราะ,น้ำซุปไก่,น้ำตาลปี๊บ,น้ำปลา,พริกชี้ฟ้าแดง,ใบมะกรูด,,,,,,,,,,,,,,
69,ต้ม,ข้าวต้มปลามิโซะ,ข้าวหุงสุก,ซอสมิโซะ,น้ำซุปปลาแห้งญี่ปุ่น,เนื้อปลาหั้นพอคำ,เห็ดเข็มทอง,ต้นหอมญี่ปุ่น,,,,,,,,,,,,,,,,,,,,
70,ต้ม,แกงคั่วมะระปลาดุก,พริกแห้ง,เกลือ,กระเทียม,ข่า ,ตะไคร้,ผิวมะกรูด,รากผักชี,หอมแดง,กะปิ,เนื้อปลาดุก,มะระพอคำ,ใบมะกรูด,พริกสด,กะทิ,น้ำเปล่า,น้ำปลา,น้ำตาล,น้ำมันพืช,,,,,,,,
71,ต้ม,แกงป่าปลาช่อน,ปลาช่อน,พริกแกง,มะเขือเจ้าพระยา,พริกสด,กระชาย ,ใบกะเพรา,น้ำปลา,,,,,,,,,,,,,,,,,,,
72,ต้ม,แกงปลาใส่ตูน,ปลาช่อน,ตูน,มะนาว,น้ำมะกรูด,ใบโพระพา,มะเขือเทศ,น้ำปลา,เกลือ,น้ำซุป,น้ำมันพืช,พริกสด,หอมแดง,กระเทียม,กะปิ,ปลาร้าสับ,ขมิ้น,,,,,,,,,,
73,ต้ม,โจ๊กปลาเก๋า,ข้าวหอมมะลิ,เกลือ,น่ำซุป,เนื้อปลาเก๋า,ขิง,ต้นหอม,,,,,,,,,,,,,,,,,,,,
74,ต้ม,แกงส้มปลาช่อนผักรวม,ปลาช่อน,น้ำพริกแกงส้ม,ผักกวางตุ้ง,หัวไชเท้า,ถั่วฝักยาว,น้ำเปล่า,น้ำตาลปี๊บ,น้ำปลา,น้ำมะขามเปียก,ผักกาดขาว,,,,,,,,,,,,,,,,
75,ต้ม,แกงผักหวานใส่ปลาย่าง,ปลาดุก,ปลาแห้ง,ผักหวานป่า,มะเขือเทศ,วุ้นเส้น,น้ำซุปกระดูกหมู,พริกแห้ง,หอมแดง,กระเทียม,กะปิ,ไข่มดแดง,ปลาร้าสับ,,,,,,,,,,,,,,
76,ต้ม,ต้มยำปลาทู,ปลาทู,พริกสด,น้ำมะขามเปียก,มะนาว,มะเขือเทศ,หอมแดง,ตะไคร้,เห็ดฟาง,ข่า ,ใบมะกรูด,ผักชีฝรั่ง,น้ำซุปกระดุกหมู,,,,,,,,,,,,,,
77,ต้ม,แกงไตปลา,ไตปลา,ปลาดุก,ถั่วฝักยาว,หน่อไม้,มะเขือเปราะ,ส้มแขก,ใบมะกรูด,ฟักทอง,พริกแห้ง,พริกขี้หนู,น้ำมะขามเปียก,ข่า ,ตะไคร้,ผิวมะกรูด,พริกไทย,กระเทียม,หอมแดง,ขมิ้น,กะปิ,เกลือ,น้ำเปล่า,,,,,
78,ต้ม,ปลาดุกผักพริกหยวก,ปลาดุก,พริกแกงเผ็ด,พริกหยวก,ใบมะกรูด,ใบโพระพา,หัวกะทิ,น้ำเปล่า,กระชาย ,น้ำตาล,น้ำปลา,น้ำมันพืช,,,,,,,,,,,,,,,
79,ต้ม,ต้มยำปลาทู,ปลาทู,พริกขี้หนู,น้ำมะขามเปียก,มะนาว,น้ำปลา,หอมแดง,ตะไคร้,เห็ดฟาง,ข่า ,ใบมะกรูด,ผักชีฝรั่ง,น้ำซุปกระดุกหมู,,,,,,,,,,,,,,
80,ต้ม,แกงผักหวานป่าใส่ไข่มดแดง,ยอดผักหวานป่าอ่อน,ไข่มดแดง,ใบแมงลัก,ปลาร้า,นํ้าปลา,น้ำเปล่า,พริกขี้หนู,ตะไคร้,หอมแดง,เกลือ,ใบมะกรูด,,,,,,,,,,,,,,,
81,ต้ม,แกงเลียงกุ้งสด,กุ้ง,ข้าวโพดอ่อน,บวบ,เห็ดโคน,เนื้อฟักทอง,ใบแมงลัก,น้ำเปล่า,น้ำปลา,พริกไทยเม็ด,หอมแดง ,กะปิ,กุ้งแห้ง,,,,,,,,,,,,,,
82,ต้ม,ใบเหลียงต้มกะทิ,ใบเหลียงอ่อน,หัวกะทิ,หางกะทิ,กุ้ง,กะปิ,หอมแดง,พริกไทย,กุ้งแห้ง,น้ำปลา,น้ำตาลปี๊บ,ไข่ไก่,,,,,,,,,,,,,,,
83,ต้ม,แกงส้มต้นอ่อนทานตะวัน,พริกแกงส้ม,ปลานิล,น้ำตาลปี๊บ,น้ำปลา,น้ำมะขามเปี๊ยก,หัวไชเท้า,ดอกแค,กุ้ง,ต้นอ่อนทานตะวัน,ไข่ไก่,น้ำเปล่า,น้ำมันพืช,,,,,,,,,,,,,,
84,ต้ม,ขนมจีนซาวน้ำ,หัวกะทิ,เส้นขนมจีน,น้ำตาลปี๊บ,น้ำปลา,น้ำตาล,มะนาว,ขิง,กระเทียม,กุ้งแห้ง,พริกสด,สับปะรด,ไข่ไก่,เนื้อปลากราย,มะนาว,รากผักชี,,,,,,,,,,,
85,ต้ม,ต้มยำกุ้ง,กุ้ง,เห็ดโคน,น้ำพริกเผา,น้ำปลา,น้ำมะขามเปียก,มะนาว,พริกขี้หนู,นมข้นจืด,ใบมะกรูด,น้ำซุปกระดูกหมู,ข่า ,ตะไคร้,หอมแดง,ผักชีฝรั่ง,,,,,,,,,,,,
86,ต้ม,ข้าวต้มกุ้ง,กุ้ง,น้ำเปล่า,ข้าวหุงสุก,ซี่โครงหมู,ซีอิ๊วขาว,กระเทียมเจียว,เห็ดหอม,คึ้นฉ่าย,พริกไทยป่น,เกลือ,,,,,,,,,,,,,,,,
87,ต้ม,แกงเลียงกะทิสด,กุ้ง,หางกะทิ,ข้าวโพดอ่อน,บวบ,เห็ดโคน,ฟักทอง,ใบแมงลัก,น้ำเปล่า,น้ำปลา,พริกไทย,หอมแดง,กะปิ,เต้าหู้,กุ้งแห้ง,,,,,,,,,,,,
88,ต้ม,แกงส้มชะอมไข่,ไข่ไก่,กุ้ง,ยอดชะอม,น้ำพริกแกงส้ม,น้ำมะขามเปียก,น้ำตาลปี๊บ,น้ำปลา,มะนาว,น้ำเปล่า,หัวไชเท้า,ผักกระเฉด,น้ำมันพืช,,,,,,,,,,,,,,
89,ต้ม,ต้มจับฉ่าย,กระดูกเล้ง,แครอท,หัวไชเท้า,เห็ดหอม,น้ำตาลกรวด,ซอสปรุงรส,รากผักชี,ผักโขม,ผักคะน้า,คื่นฉ่าย,ต้นกระเทียม,กะหล่ำปลี,ฟองเต้าหู้,ผักกวางตุ้ง,ซีอิ้วขาว,น้ำตาลปี๊บ,รากผักชี,น้ำมันพืช,,,,,,,,
90,ต้ม,แกงเห็ดเผาะใส่ผักหวาน,ผักหวาน,เก็ดเผาะ,ผักติ้ว,ใบย่านาง,ข้าวเบือ,ไข่มดแดง,พริกสด,ตะไคร้,หอมแดง,น้ำปลา,น้ำตาล,น้ำปลาร้า,,,,,,,,,,,,,,
