Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
35,ปิ้งย่าง,หมูย่างตะไคร้,หมูสามชั้น,ตะไคร้,หอมแดง,พริกไทย,ซอสหอยนางรม,น้ำตาล,ซอสถั่วเหลือง,รากผักชี,หมีลวก,ผักสด,,,,,,,,,,,,,,,,
36,ปิ้งย่าง,ข้าวผัดหมูแดง,ข้าวสวย,หมู,ไข่ไก่,ซีอิ้วขาว,ซอสหอยนางรม,ต้นหอม,หอมหัวใหญ่,แครอท,น้ำมันพืช,แตงกวา,,,,,,,,,,,,,,,,
37,ปิ้งย่าง,ข้าวหมูแดง,ข้าวสวย,หมู,กุนเชียง,ไข่ไก่,น้ำซุป,ซีอิ้วขาว,น้ำตาล,งาขาวคั่ว,แป้งมัน,เกลือ,น้ำแดง,แตงกวา,,,,,,,,,,,,,,
38,ปิ้งย่าง,หมูแดง,หมู,สีผสมอาหาร,ซีอิ้วขาว,ซอสหอยนางรม,รากผักชี,กระเทียม,พริกไทย,,,,,,,,,,,,,,,,,,,
39,ปิ้งย่าง,หมูม้วนอบซอส,หมูสามชั้นแผ่นใหญ่,ซอสหอยนางรม,ซอสถั่วเหลือง,น้ำตาล,รากผักชี,,,,,,,,,,,,,,,,,,,,,
40,ปิ้งย่าง,ปลาทับทิมย่างจิ้มแจ่ว,ปลาทับทิม,ตะไคร้,หอมแดง,กระเทียม,เกลือ,น้ำจิ้มแจ่ว,ผักสด,,,,,,,,,,,,,,,,,,,
41,ปิ้งย่าง,หมูสะเต๊ะเจ,โปรตีนเกษตรแผ่น,ตะไคร้,น้ำตาล,เกลือ,ผงขมิ้น,ข่า ,ยี่หร่า,เปลือกลูกมะกรูดขูด,ซอสถั่วเหลือง,กะทิ,,,,,,,,,,,,,,,,
0,ผัด,โชกะยากิ,หมู,หอมหัวใหญ่,แป้งสาลี,มายองเนส,น้ำมันงา,ขิง,มิริน,โชยุ,สาเก,น้ำตาล,มิโสะ,ผักบ็อคโคลี่,ผักกะหล่ำปลี,,,,,,,,,,,,,
1,ผัด,แกงโฮะ,พริกแกงเผ็ด,พริกแกงฮังเล,แหนมหม้อ,หน่อไม้ดอง,แคบหมู,วุ้นเส้น,ใบมะกรูด,ผักตำลึง,ตะไคร้,น้ำปลา,มะนาว,พริกสด,กระเทียม,น้ำมันพืช,,,,,,,,,,,,
2,ผัด,หมูกรอบผัดกุยช่าย,ใบกุยช่ายขาว,หมูกรอบ,พริกขี้หนู,กระเทียม,ซอสหอยนางรม,เต้าเจี้ยว,ซอสถั่วเหลือง,น้ำตาล,น้ำซุปกระดูก,น้ำมันพืช,,,,,,,,,,,,,,,,
3,ผัด,ไข่ผัดเห็ดหอมเต้าหู้อ่อน,ไข่ไก่,หมูสับ,เต้าหู้,เห็ดหอม,กระเทียม,เหล้าจีน,ซอสน้ำมันหอย,น้ำตาล,เกลือ,พริกไทย,น้ำมันพืช,ต้นหอม,พริกชี้ฟ้า,,,,,,,,,,,,,
4,ผัด,หมูสามชั้นผัดกะปิ,หมู,พริกขี้หนู,กระเทียม,พริกเม็ดใหญ่,กะปิ,น้ำตาล,ซอสหอยนางรม,ซอสถั่วเหลือง,ซอสปรุงรส,เหล้าจีน,ต้นหอม,,,,,,,,,,,,,,,
5,ผัด,ผัดถั่วงอกเต้าหู้หมูสับ,ถั่วงอก,หมูสับ,เต้าหู้,พริกชี้ฟ้า,กระเทียม,ต้นหอม,เกลือ,พริกไทย,ซอสน้ำมันหอย,น้ำมันพืช,,,,,,,,,,,,,,,,
6,ผัด,หมูสับผัดต้นหอม,แป้งข้าวจ้าว,แป้งมัน,แป้งเท้ายายม่อม,น้ำเปล่า,เกลือ,กะทิ,น้ำตาล,,,,,,,,,,,,,,,,,,,
7,ผัด,ซี่โครงหมูสามรส,ซี่โครงหมู,เกลือ,พริกไทย,แป้งสาลี,ซอสปรุงรส,กระเทียม,น้ำสับปะรด,น้ำตาลปี๊บ,น้ำส้มสายชู,ซอสถั่วเหลือง,สับปะรด,พริกสด,ผักสด,น้ำมันพืช,,,,,,,,,,,,
8,ผัด,ผัดกระเพราหมูสับ,หมูสับ,กระเทียม,น้ำมันพืชสำหรับผัด,ซอสปรุงรส,น้ำปลา,น้ำตาล,ซอสน้ำมันหอย,ใบกะเพรา,พริกขี้หนู,น้ำซุปกระดูก,,,,,,,,,,,,,,,,
9,ผัด,ผัดซีอิ้ว,หมู,ซอสถั่วเหลือง,กระเทียม,เส้นใหญ่,ซอสซีอิ๊วดำ,ยอดผักคะน้า ,แครอท,ไข่ไก่,น้ำตาล,ซอสน้ำมันหอย,น้ำมันพืช,,,,,,,,,,,,,,,
10,ผัด,ผัดกระเพราวุ้นเส้นหมูสับ,หมูสับ,กระเทียม,พริกขี้หนู,น้ำมันพืช,ซอสปรุงรส,ซอสน้ำมันหอย,น้ำตาล,วุ้นเส้น,น้ำซุปกระดูกหมู,ใบกะเพรา ,,,,,,,,,,,,,,,,
11,ผัด,ตับผัดพริกไทยดำ,ตับหมู,พริกไทย,กระเทียม,ซอสถั่วเหลือง,น้ำตาล,ซอสน้ำมันหอย,พริกไทย,เหล้าจีน,น้ำเปล่า,น้ำมันพืช,หอมหัวใหญ่,พริกหวานสีเขียวสีแดงสีเหลือง,ต้นหอม,พริกชี้ฟ้า,,,,,,,,,,,,
12,ผัด,ซี่โครงหมูหวาน,ซี่โครงหมู,น้ำตาลปี๊บ,น้ำปลา,พริกไทย,กระเทียม,น้ำมันพืชสำหรับผัด,น้ำซุป,,,,,,,,,,,,,,,,,,,
13,ผัด,หมูผัดตะไคร้,ซี่โครงหมู,ตะไคร้,กระเทียม,ใบมะกรูด,พริกขี้หนู,น้ำตาล,ซอสเห็ดหอม,ซีอิ้วดำ,ซอสน้ำมันหอย,น้ำมันพืช,,,,,,,,,,,,,,,,
14,ผัด,ผัดผักแขนงหมูกรอบ,หมูกรอบ,ซอสปรุงรส,น้ำตาล,ซอสน้ำมันหอย,ผักแขนง,กระเทียม,พริกขี้หนู,พริกชี้ฟ้า,น้ำซุปกระดูกหมู,น้ำมันพืช,,,,,,,,,,,,,,,,
15,ผัด,ผัดเปรี้ยวหวานหมู,หมู,น้ำตาล,เกลือ,พริกไทย,ซอสพริก,ซอสมะเขือเทศ,พริกหยวก,ข้าวโพดอ่อน,หอมหัวใหญ่,กระเทียม,แครอท,แป้งมัน,น้ำมันพืชสำหรับผัด,,,,,,,,,,,,,
16,ผัด,หมูผัดแกงเขียวหวาน,หมู,แป้งข้าวโพด,ซอสปรุงรส,พริกไทย,น้ำตาล,มะเขือเปราะ,มะเขือพวง,ใบโพระพา,พริกชี้ฟ้า,พริกไทยอ่อน,ใบมะกรูด,น้ำตาลปี๊บ,น้ำปลา,หัวกะทิ,พริกแกงเขียวหวาน,น้ำมันพืช,,,,,,,,,,
17,ผัด,สันคอหมูผัดข่าพริกแห้ง,คอหมู,พริกแห้ง,กระเทียม,น้ำปลา,น้ำตาลปี๊บ,น้ำมันพืช,ต้นข่า อ่อนเป็นท่อน,พัวข่า อ่อน,ใบโพระพา,,,,,,,,,,,,,,,,,
18,ผัด,เส้นใหญ่ผัดขี้เมา,เส้นใหญ่,หมู,น้ำมันพืชสำหรับผัด,ซอนน้ำมันหอย,น้ำตาล,น้ำปลา,ซอสถั่วเหลือง,พริกขี้หนู,พริกชี้ฟ้า,พริกไทยสด,ใบกะเพรา,ใบโพระพา,กระเทียม,,,,,,,,,,,,,
19,ผัด,แกงไข่ไล่ทุ่ง,ไข่เป็ด,หมูสับ,กุ้ง,เนื้อมะเขีอเทศ,ขิง,ขมิ้นขาว,หอมแดง,ผงขมิ้น,ใบมะกรูด,น้ำตาลปี๊บ,น้ำปลา,พริกแกงเผ็ด,หัวกะทิ,พริกสด,น้ำมันพืช,,,,,,,,,,,
20,ผัด,ผัดกระเฉดหมูกรอบ,ผักกระเฉด,หมูกรอบ,พริกขี้หนู,พริกเม็ดใหญ่,เต้าเจี้ยว,กระเทียม,ซอสถั่วเหลือง,น้ำตาล,ซอสน้ำมันหอย,น้ำมันพืช,น้ำซุป,,,,,,,,,,,,,,,
21,ผัด,แกงคั่วพริกซี่โครงหมูอ่อน,ซี่โครงกระดูกอ่อน,น้ำซุปหมู,กะปิ,น้ำตาล,เกลือ,พริกกะเหรียง,ตะไคร้,กระเทียม,ข่า ,พริกไทย,พริกขี้หนู,ขมิ้น,,,,,,,,,,,,,,
22,ผัด,กระเพราหมูสับ,หมูสับ,กระเทียม,น้ำมันพืช,ซิอิ๊วขาว,น้ำปลา,น้ำตาล,ผงรสดี,ใบกะเพรา,พริก,,,,,,,,,,,,,,,,,
23,ผัด,ผัดเผ็ดหมูป่า,หมูป่า,พริกแกงเผ็ด,พริกขี้หนู,พริกเม็ดใหญ่,พริกหยวก,ใบโพระพา,ใบมะกรูด,พริกไทยอ่อน,กระชาย ,หางกะทิ,น้ำปลา,น้ำตาลปี๊บ,น้ำมันพืช,,,,,,,,,,,,,
24,ผัด,ผัดแขนงหมูสับ,หมูสับ,ซอสปรุงรส,น้ำตาล,ผักแขนง,กระเทียม,พริกสด,ซอสหอยนางรม,น้ำซุปหมู,น้ำมันพืช,,,,,,,,,,,,,,,,,
25,ผัด,ตับหมูผัดพริกหวาน,ตับหมู,พริกหวาน,หอมหัวใหญ่,กระเทียม,น้ำมันพืช,ซอสถั่วเหลือง,ซอสน้ำมันหอย,น้ำตาล,น้ำซุปหมู,,,,,,,,,,,,,,,,,
26,ผัด,สปาเก็ตตี้ผัดขี้เมา,น้ำมันงา,กระเทียม,โคชูจัง,ไก่,ก้านดอกกะหล่ำ,กิมจิ,พริกหวาน,พริกป่น,ผักสด,เส้นสปาเก็ตตี้,น้ำตาล,ซอสปรุงรส,,,,,,,,,,,,,,
27,ผัด,ตับผัดหน่อไม้ฝรั่ง,ตับหมู,หน่อไม้ฝรั่ง,น้ำตาล,ซอสถั่วเหลือง,ซอสน้ำมันหอย,น้ำมันพืช,น้ำซุป,,,,,,,,,,,,,,,,,,,
28,ผัด,ตับผัดต้นกระเทียม,ตับหมู,ต้นกระเทียม,ซอสน้ำมันหอย,น้ำตาล,ซอสถั่วเหลือง,น้ำมันพืช,น้ำซุป,,,,,,,,,,,,,,,,,,,
29,ผัด,ข้าวผัดหมูลิ้นจี่,ข้าวหุงสุก,ไข่ไก่,เนื้อลิ้นจี่สด,หมูสด,กระเทียม,ต้นหอม,ซอสปรุงรส,น้ำตาล,น้ำมันพืช,พริกน้ำปลา,แตงกวา,,,,,,,,,,,,,,,
30,ผัด,ผัดกระเพราหมูกรอบ,หมูกรอบ ,กระเทียม,น้ำมันพืช,ซอสถั่วเหลือง,น้ำปลา,น้ำตาล,น้ำซุปหมู,ใบกะเพรา,พริก,,,,,,,,,,,,,,,,,
31,ผัด,ผัดคะน้าหมูกรอบ,ยอดผักคะน้า      ,หมูกรอบ,พริกขี้หนู,กระเทียม,ซอสหอยนางรม,เต้าเจี้ยว,ซอสถั่วเหลือง,น้ำตาล,น้ำซุปกระดูก,น้ำมันพืช,,,,,,,,,,,,,,,,
32,ผัด,หมูผัดพริกไทยดำ,หมู,น้ำมันพืชสำหรับผัด,กระเทียม,ซอสน้ำมันหอย,ซอสถั่วเหลือง,น้ำปลา,น้ำตาล,หอมหัวใหญ่,พริกไทยดำ,พริกหยวก,ต้นหอม,,,,,,,,,,,,,,,
33,ผัด,บะหมี่กระเพราหมูสับ,บะหมี่,ใบกะเพรา,พริกสด,กระเทียม,หมูสับ,พริกสด,ซอสน้ำมันหอย,น้ำตาล,น้ำปลา,ซอสถั่วเหลือง,น้ำมันพืช,,,,,,,,,,,,,,,
34,ผัด,ผัดกระเพราไข่เยี่ยวม้า,ไข่เยี่ยวม้า,หมูสับ,พริกชี้ฟ้า,กระเทียม,ใบกะเพรา,ซอสน้ำมันหอย,น้ำปลา,น้ำตาล,น้ำมันพืช,,,,,,,,,,,,,,,,,
35,ผัด,แกงโฮะ,พริกแกงเผ็ด,พริกแกงฮังเล,แหนมหม้อ,หน่อไม้ดอง,แคบหมู,วุ้นเส้น,ใบมะกรูด,ผักตำลึง,ตะไคร้,น้ำปลา,มะนาว,พริกสด,กระเทียม,น้ำมันพืช,,,,,,,,,,,,
36,ผัด,ข้าวผัดกุนเชียง,กุนเชียง,ข้าวหุงสุก,กระเทียม,ถั่วลันเตา,ไข่ไก่,พริกไทยป่น,น้ำมันพืช,เห็ดหอม,น้ำมันหอย,ซอสปรุงรส,ต้นหอม,,,,,,,,,,,,,,,
37,ผัด,ผัดเต้าหู้หมูสับ,เต้าหู้,หมูสับ,กระเทียม,ซอสถั่วเหลือง,ซอสน้ำมันหอย,น้ำมันงา,เหล้าจีน,น้ำตาล,ต้นหอม,แครอท,คื่นฉ่ายเป็นท่อน,แป้งมัน,พริกไทยป่น,น้ำมันพืช,,,,,,,,,,,,
38,ผัด,ผัดเผ็ดหมู,หมู,พริกแกงเผ็ด,กระชาย ,ใบมะกรูด,ใบโพระพา,กะทิ,พริกสด,พริกไทยสด,น้ำปลา,เกลือ,น้ำตาล,น้ำมันพืช,,,,,,,,,,,,,,
39,ผัด,ข้าวผัดหมูแดง,ข้าวสวย,หมู,ไข่ไก่,ซีอิ้วขาว,ซอสหอยนางรม,ต้นหอม,หอมหัวใหญ่,แครอท,น้ำมันพืช,แตงกวา,,,,,,,,,,,,,,,,
40,ผัด,หมูผัดพริกไทยดำ,หมู,น้ำมัน,กระเทียม,น้ำมันหอย,ซอสถั่วเหลือง,น้ำปลา,น้ำตาล,หอมหัวใหญ่,พริกไทยดำ,,,,,,,,,,,,,,,,,
41,ผัด,น้ำพริกปลาร้าทรงเครื่อง,ปลาร้า,พริกป่น,ข้าวคั่ว,น้ำมะขามเปียก,น้ำตาลปี๊บ,ซอสน้ำมันหอย,หอมแดง,ตะไคร้,ใบมะกรูด,กระเทียม,น้ำมันพืช,,,,,,,,,,,,,,,
42,ผัด,ผัดหมี่โคราช,เส้นจันทร์,ไข่ไก่,กระเทียม,หอมแดง,ไชโป้ว,เต้าหู้,หมูสับ,เต้าเจี้ยว,น้ำปลา,น้ำตาลปี๊บ,น้ำมะขามเปียก,ซอสซีอิ้วดำ,พริกไทยป่น,น้ำเปล่า,น้ำมันพืช,ถั่วงอก,ต้นหอม,,,,,,,,,
43,ผัด,ไส้อ่อนผัดพริกเกลือ,ไส้อ่อน,ซอสปรุงรส,พริกไทย,เกลือ,เกลือ,พริกไทย,กระเทียม,พริกขี้หนู,พริกชี้ฟ้า,รากผักชี,ผงปรุงรส,น้ำตาล,ต้นหอม,แป้งข้าวโพด,น้ำมันพืช,,,,,,,,,,,
44,ผัด,ผัดสะตอปลา,เนื้อปลาช่อน,สะตอ,หอมแดง ,กระเทียม,พริกขี้หนู,กะปิ,น้ำปลา,น้ำตาลปี๊บ,ใบมะกรูด,น้ำเปล่า,น้ำมันพืช,,,,,,,,,,,,,,,
45,ผัด,ปลากะพงผัดสะตอ,ปลากะพง,เกลือ,แป้งข้าวโพด,สะตอ,หอมแดง,กระเทียม,พริกขี้หนู,กะปิ,น้ำปลา,น้ำตาลปี๊บ,ใบมะกรูด,น้ำเปล่า,นำมันพืชสำหรับทอดปลา,น้ำมันพืช,,,,,,,,,,,,
46,ผัด,น้ำพริกผัดทูน่า,เนื้อปลาทูน่ากระป๋อง,พริกแห้งเม็ดใหญ่,กระเทียม,หอมแดง,ถั่วลิสง,น้ำมะขามเปียก,น้ำตาลปี๊บ,เกลือ,ผักสด,,,,,,,,,,,,,,,,,
47,ผัด,ปลาบึกผัดฉ่า,เนื้อปลาบึก,น้ำตาล,น้ำปลา,ซอสน้ำมันหอย,ใบมะกรูด,กระชาย ,ใบโพระพา,กระเทียม,พริกหยวกเขียว,พริกชี้ฟ้า,พริกขี้หนู,พริกไทยอ่อน,น้ำมันพืชสำหรับผัด,,,,,,,,,,,,,
48,ผัด,ผัดเผ็ดปลาดุก,ปลาดุก,พริกแกงเผ็ด,กระเทียม,น้ำตาลปี๊บ,น้ำปลา,ซอสน้ำมันหอย,พริกขี้หนู,กระชาย ,ใบมะกรูด,ใบโพระพา,ใบกะเพรา,น้ำมันพืช,พริกไทยอ่อน,,,,,,,,,,,,,
49,ผัด,ปลาช่อนผัดคื่นฉ่าย,ปลาช่อน,เต้าเจี้ยว,น้ำปลา,ซอสน้ำมันหอย,ขิง,คื่นฉ่าย,ต้นหอม,น้ำตาล,น้ำซุปกระดูกหมู,กระเทียม,พริกขี้หนู,แป้งข้าวโพด,น้ำมันสำหรับทอดปลา,น้ำมันพืช,,,,,,,,,,,,
50,ผัด,ปลาทับทิมผัดขมิ้นขาว,เนื้อปลาทับทิม,น้ำมันพืช,เกลือ,ขมิ้น,กระเทียม,แป้งข้าวโพด,ซอสถั่วเหลือง,ซอสน้ำมันหอย,น้ำตาล,ขมิ้นขาว,ต้นหอม,พริกชี้ฟ้า,เห็ดหอม,,,,,,,,,,,,,
51,ผัด,ลูกชิ้นปลาผัดเผ็ด,ปลาอินทรีย์,เกลือ,พริกไทย,พริกเหลือง,พริกขี้หนู,กระเทียม,ข่า ,กระชาย ,พริกไทยสด,ใบกะเพรา,น้ำปลา,น้ำตาล,กะปิ,มะเขือ,น้ำมันพืช,,,,,,,,,,,
52,ผัด,ปลากะพงทอดคั่วพริกเกลือ,ปลากะพง,กระเทียม,พริกชี้ฟ้า,เกลือ,แป้งทอดกรอบ,น้ำมันปาล์ม,น้ำตาล,พริกไทย,กระเทียมเจียว,,,,,,,,,,,,,,,,,
53,ผัด,ผัดชะอมปลาชอนทอดกรอบ,ยอดผักชะอม,กระเทียม,พริกสด,เนื้อปลาช่อน,ซอสปรุงรส,น้ำตาล,เต้าเจี้ยว,แป้งข้าวโพด,น้ำมันสำหรับทอดและผัด,เกลือ,ซอสน้ำมันหอย,น้ำตาล,น้ำปลา,,,,,,,,,,,,,
54,ผัด,ผัดมะระปลาเค็ม,ปลาอินทรีย์,มะระจีน,ซอสน้ำมันหอย,กระเทียม,พริกสด,น้ำซุป,เกลือ,น้ำมันพืช,,,,,,,,,,,,,,,,,,
55,ผัด,แกงคั่วแห้งกุ้งมะพร้าวอ่อนใบชะพลู    ,พริกแห้ง,เกลือ,ข่า ,ตะไคร้,พริกสด,พริกไทย,กระเทียม,ขมิ้น,กะปิ,มะกรูด,หัวกะทิ,น้ำตาลปี๊บ,เกลือ,น้ำปลา,กุ้ง,เนื้อมะพร้าวอ่อน,ใบชะพลู    ,,,,,,,,,
56,ผัด,ปลาช่อนจู่ขิง,เนื้อปลาช่อน,น้ำมัน,น้ำซุป,ต้นหอม,ขิง,พริกไทย,กระเทียม,เต้าเจี้ยว,,,,,,,,,,,,,,,,,,
57,ผัด,พาสต้าโอโคโนมิยากิ,เส้นพาสต้า,หมูสับ,ไส้กรอก,หอมหัวใหญ่,ซอสมะเขือเทศ,โอโคโนมิยากิ,นมข้นจืด,น้ำตาล,เกลือ,พริกสด,ชีส,แครอท,,,,,,,,,,,,,,
58,ผัด,ผัดเปรี้ยวหวานปลา,ปลานิล,แป้งข้าวโพด,มะเขือเทศ,พริกหวาน,พริกหยวก,หอมหัวใหญ่,กระเทียม,ต้นหอม,แครอท,น้ำตาล,ซอสมะเขือเทศ,ซอสพริก,น้ำปลา,น้ำปล่า,น้ำมันพืช,,,,,,,,,,,
59,ผัด,ปลากะพงผัดพริกไทยดำ,ปลากะพง,พริกหยวกสด,หอมหัวใหญ่,ต้นหอม,กระเทียม,ซอสหอยนางรม,น้ำตาล,ซอสถั่วเหลือง,พริกไทยดำ,,,,,,,,,,,,,,,,,
